system:index,Class,Image,mod_area,mod_bgr_post,mod_bgr_pre,rap_area,rap_bgr_post,rap_bgr_pre,.geo
00000000000000000000_00000000000000000000,1,1,2475.149274728867,1310.4504650888882,1473.5314937369778,2485.662384345817,690.4964888446586,879.7457093497732,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_00000000000000000001,1,1,2489.9197011274578,985.2544576702318,1225.8534523616304,2486.0495753827686,328.91216606920796,465.7076412227293,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_00000000000000000002,1,1,2495.506636963846,897.5294754955818,982.6975040654239,2493.535990269846,206.66168853529746,264.85793082794345,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_00000000000000000003,1,1,2495.498793342526,735.8095713688915,752.5881209075831,2490.6419857684564,74.18365138434274,87.09358608105673,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_00000000000000000004,1,1,2489.4497721920948,796.0719516745776,931.9831110534594,2487.469248909733,303.57518055539924,385.2039404753247,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_00000000000000000005,1,1,2490.9107301516465,1151.8634942016065,1184.0003185501373,2487.1595698629912,646.3677915988419,630.8247658673911,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_00000000000000000006,1,1,2479.6671075428885,685.7117636867524,728.742260096494,2490.3279353287594,157.42075516280914,203.55383607688233,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_00000000000000000007,1,1,2489.3490553982806,1195.613483262428,1343.7298432563778,2485.5061026151825,477.1974381755745,624.6773931115647,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_00000000000000000008,1,1,2488.9501723284384,1360.1443516751845,1382.421031775971,2487.0499947377625,718.5748671577411,755.6116104217631,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_00000000000000000009,1,1,2493.619548791352,785.1697145969507,907.4872062330217,2489.3072584133693,176.44318448084906,308.67596008140697,"{""type"":""MultiPoint"",""coordinates"":[]}"
